county_number,county,water_name,water_type,latitude,longitude,public_access_verified,access_point_count,access_point_name,manager,boat_ramp,dock,restroom,camping,ada_fishing,official_source_url,access_details
31,Mineral,East Fork Twelvemile Creek,creek,47.366826353002075,-115.26472357143876,True,1,Public access site 2,U.S. Forest Service recreation site,False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,U.S. Forest Service recreation site
31,Mineral,Fish Creek,creek,47.003806382077336,-114.6988133795121,True,2,Ralph's Takeout,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,True,False,https://myfwp.mt.gov/fishMT/fas/39754591,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: No Boat Facilities. Camping: Yes. Hunt Access: Refer to current hunting regulations for hunting and weapons restrictions."
31,Mineral,Fish Creek,creek,47.003806382077336,-114.6988133795121,True,2,Big Pine,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,True,False,https://myfwp.mt.gov/fishMT/fas/39754101,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: No Boat Facilities. Camping: Yes. Hunt Access: Refer to current hunting regulations for hunting and weapons restrictions."
31,Mineral,Mcgee Point Superior,water,47.384976340350796,-115.39621360158253,True,3,Public access site 3,U.S. Forest Service recreation site,False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,U.S. Forest Service recreation site
31,Mineral,Mcgee Point Superior,water,47.384976340350796,-115.39621360158253,True,3,Public access site 4,U.S. Forest Service recreation site,False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,U.S. Forest Service recreation site
31,Mineral,Mcgee Point Superior,water,47.384976340350796,-115.39621360158253,True,3,Public access site 95,U.S. Forest Service recreation site,False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,U.S. Forest Service recreation site
31,Mineral,Natural Pier,public fishing access site,47.015041614805966,-114.5067198795543,True,1,Natural Pier,"Montana Fish, Wildlife & Parks Fishing Access Site",True,True,False,False,False,https://myfwp.mt.gov/fishMT/fas/39754127,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: No Boat Facilities. Camping: No"
31,Mineral,Noonan Pond,pond,47.30145636463878,-115.10417352514732,True,1,St. Regis,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,False,False,https://myfwp.mt.gov/fishMT/fas/39754205,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: Ramp (Concrete). Camping: No. Hunt Access: Refer to current hunting regulations for hunting and weapons restrictions."
31,Mineral,North Fork Little Joe Creek,creek,47.26216635371561,-115.1718935303888,True,1,Public access site 21,U.S. Forest Service recreation site,False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/47,U.S. Forest Service recreation site
31,Mineral,Quartz Creek,creek,47.02951637823355,-114.75907339734185,True,2,Tarkio,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,False,False,https://myfwp.mt.gov/fishMT/fas/39754209,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: Ramp (Concrete). Camping: No. Hunt Access: Refer to current hunting regulations for hunting and weapons restrictions."
31,Mineral,Quartz Creek,creek,47.02951637823355,-114.75907339734185,True,2,Forest Grove,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,True,False,https://myfwp.mt.gov/fishMT/fas/39754155,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: Ramp (Concrete). Camping: Yes. Hunt Access: Refer to current hunting regulations for hunting and weapons restrictions."
31,Mineral,South Fork Fish Creek,creek,46.9266563755052,-114.6970033622495,True,1,Forks,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,True,False,https://myfwp.mt.gov/fishMT/fas/39754159,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: Hand Launch. Camping: Yes. Hunt Access: Refer to current hunting regulations for hunting and weapons restrictions."
31,Mineral,South Fork Nemote Creek,creek,47.047866387119605,-114.68483338653054,True,4,Lower Osprey,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,True,False,https://myfwp.mt.gov/fishMT/fas/39754595,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: No Boat Facilities. Camping: Yes. Hunt Access: Refer to current hunting regulations for hunting and weapons restrictions."
